10367;Aaj Ki Awaaz;1984;3729;NULL;NULL
10368;Aakhri Khat;1966;3738;NULL;NULL
10369;Aaron Loves Angela;1975;3742;NULL;NULL
10370;ABBA: The Movie;1977;3750;NULL;NULL
10371;Abbott and Costello Go to Mars;1953;3758;762000;NULL
10372;Abbott and Costello in Hollywood;1945;3770;NULL;NULL
10373;Abbott and Costello in the Foreign Legion;1950;3758;736000;NULL
10374;Abbott and Costello Meet Dr. Jekyll and Mr. Hyde;1953;3758;650000;NULL
10375;Abbott and Costello Meet Frankenstein;1948;3785;760000;NULL
10376;Abbott and Costello Meet the Invisible Man;1951;3758;697000;NULL
10377;Abbott and Costello Meet the Keystone Kops;1955;3758;743000;NULL
10378;Abbott and Costello Meet the Killer Boris Karloff;2010;3785;686000;NULL
10379;Abbott and Costello Meet the Mummy;1955;3758;738000;NULL
10380;Abby;1974;3814;NULL;NULL
10381;Abduction;2011;754;35000000;82087155
10382;Abe Lincoln in Illinois;1940;960;NULL;NULL
10383;Abhimaan;1973;3843;NULL;NULL
10384;Abnormal Family: Older Brothers Bride;1984;3853;NULL;NULL
10385;About Last Night...;1986;3858;NULL;NULL
10386;About Schmidt;2002;3868;30000000;105834556
10387;Above and Beyond;1952;3478;NULL;NULL
10388;Above Suspicion;1943;3883;NULL;NULL
10389;Above the Law;1988;2887;7500000;18869631
10390;Above the Rim;1994;3903;6500000;16192320
10391;Abraham Lincolns Clemency;1910;3919;NULL;NULL
10392;Abraham Lincoln;1930;1901;NULL;NULL
10393;Absence of Malice;1981;3938;NULL;40716963
10394;Absolute Beginners;1986;3945;NULL;NULL
10395;Absolute Power;1997;1987;50000000;NULL
10396;Acacia;2003;3965;NULL;NULL
10397;Accattone;1961;3974;NULL;NULL
10398;Accepted;2006;3978;23000000;38505009
10399;Accused;1936;4015;NULL;NULL
10400;Accused of Murder;1956;4023;NULL;NULL
10401;Ace Drummond;1936;4034;NULL;NULL
10402;Aces: Iron Eagle III;1992;3555;NULL;NULL
10403;Across 110th Street;1972;4077;NULL;NULL
10404;Across the Bridge;1957;4084;NULL;NULL
10405;Across the Pacific;1942;4094;NULL;NULL
10406;Across the Universe;2007;4105;45000000;29367143
10407;Across the Wide Missouri;1951;3226;NULL;NULL
10408;Across to Singapore;1928;4137;NULL;NULL
10409;Act of Piracy;1990;NULL;NULL;NULL
10410;Act of Violence;1948;2173;NULL;NULL
10411;Action for Slander;1937;4177;NULL;NULL
10412;Action in the North Atlantic;1943;1004;NULL;NULL
10413;Action Jackson;1988;4198;7000000;20256975
10414;Ada;1961;4221;NULL;NULL
10415;Adams Rib;1949;1443;NULL;NULL
10416;Adams Rib;1923;4236;400000;NULL
10417;Adam;2009;4248;3200000;2549605
10418;Adam Had Four Sons;1941;4257;NULL;NULL
10419;Andanggaman;2001;NULL;NULL;NULL
10420;Adaptation.;2002;4265;19000000;32801173
10421;Addams Family Values;1993;4270;NULL;48919043
10422;Addicted to Love;1997;992;NULL;NULL
10423;Adelheid;1969;4295;NULL;NULL
10424;Adoption;1975;4309;NULL;NULL
10425;Adulthood;2008;968;NULL;3347811
10426;Advance to the Rear;1964;4341;NULL;NULL
10427;Adventureland;2009;4349;NULL;17164377
10428;Adventures in Babysitting;1987;4359;7000000;34368475
10429;Adventures in Wild California;2000;4362;NULL;NULL
10430;Adventures of Don Juan;1948;4368;3500000;5000000
10431;Adventures of Frank and Jesse James;1948;4384;NULL;NULL
10432;The Adventures of Red Ryder;1940;4390;NULL;NULL
10433;Adventures of Sir Galahad;1949;4399;NULL;NULL
10434;Adventures of the Flying Cadets;1943;4416;NULL;NULL
10435;Aelita;1924;4427;NULL;NULL
10436;Aerial Anarchists;1911;4433;NULL;NULL
10437;Affair in Trinidad;1952;4368;NULL;NULL
10438;Affliction;1998;4439;6000000;6330054
10439;Afonya;1975;4454;NULL;NULL
10440;Afraid of the Dark;1991;4484;NULL;NULL
10441;Africa: The Serengeti;1994;4511;NULL;NULL
10442;African Cats;2011;4515;NULL;16031171
10443;Afsporet;1942;4516;NULL;NULL
10444;After.Life;2009;4521;4500000;3260454
10445;After Dark My Sweet;1990;4524;NULL;NULL
10446;After Hours;1985;2898;NULL;10609321
10447;After Many Years;1908;1901;NULL;NULL
10448;After Office Hours;1935;4540;NULL;NULL
10449;After Stonewall;1999;4551;NULL;NULL
10450;After the Ball;1932;4552;NULL;NULL
10451;After the Ball;1957;4555;NULL;NULL
10452;After the Sunset;2004;4561;60000000;61347797
10453;Against All Flags;1952;4575;NULL;NULL
10454;Against All Odds;1984;4588;13000000;NULL
10455;Against the Ropes;2004;39;NULL;NULL
10456;Agantuk;1991;4639;NULL;NULL
10457;Agatha;1979;4645;NULL;NULL
10458;Age of Consent;1970;1052;1200000;NULL
10459;Agent Cody Banks;2003;4652;NULL;NULL
10460;Agent Cody Banks 2: Destination London;2004;4663;26000000;28818995
10461;Agent for H.A.R.M.;1966;2310;NULL;NULL
10462;Agnes of God;1985;3179;NULL;NULL
10463;Agora;6830;4687;NULL;37828420
10464;Aguirre the Wrath of God;1977;4695;NULL;NULL
10465;Ah! Nomugi Toge;1979;4700;NULL;NULL
10466;Ah Wilderness!;1935;2035;NULL;NULL
10467;Aileen Wuornos: The Selling of a Serial Killer;1994;4704;NULL;NULL
10468;Aina;1977;4707;NULL;NULL
10469;Air America;1990;4710;NULL;NULL
10470;Air Bud ;1997;4724;NULL;NULL
10471;Air Bud: Golden Receiver;1998;4733;NULL;10224116
10472;Air Force;1943;2084;NULL;NULL
10473;Air Force One;1997;4745;85000000;315156409
10474;Airmail;1932;856;NULL;NULL
10475;Airborne;1994;4770;NULL;2850263
10476;Airheads;1994;987;11000000;NULL
10477;Airplane!;1980;4795;NULL;83453539
10478;Airplane II: The Sequel;1982;4814;NULL;27150534
10479;Airport 77;1977;4827;NULL;NULL
10480;Airport;1970;830;10000000;100489151
10481;Airport 1975;1974;4849;NULL;NULL
10482;Ajami;2009;4867;1000000;2200000
10483;Akeelah and the Bee;2006;4869;8000000;18948425
10484;Akira;1988;4880;NULL;50000000
10485;Akrobatisches Potpourri;1895;4886;NULL;NULL
10486;Ala-Arriba!;1942;4888;NULL;NULL
10487;Aladdin;1992;4890;28000000;504050219
10488;Alakazam the Great;1960;4897;NULL;NULL
10489;Alam Ara;1931;4898;NULL;NULL
10490;Alamo Bay;1985;3533;NULL;NULL
10491;Alaska;1996;4911;NULL;NULL
10492;Alaska Seas;1954;4917;NULL;NULL
10493;Albino Alligator;1997;636;6000000;NULL
10494;Alex & Emma;2003;4930;30000000;NULL
10495;Alexander;2005;4932;155000000;167298192
10496;Alexander Nevsky;1939;4953;NULL;NULL
10497;Alexander Popov;1949;4967;NULL;NULL
10498;Alexander the Great;1956;4975;NULL;NULL
10499;Alexandria... Why?;1978;4998;NULL;NULL
10500;Alfie;1966;5014;NULL;NULL
10501;Alfie;2004;5021;60000000;35150546
10502;Alfred the Great;1969;5036;NULL;NULL
10503;Algiers;1938;960;NULL;NULL
10504;Algol;1920;5055;NULL;NULL
10505;Ali: Fear Eats the Soul;1974;5065;NULL;NULL
10506;Ali Baba Goes to Town;1937;1760;NULL;NULL
10507;Ali G Indahouse;2002;5118;NULL;25936616
10508;Alibi;1931;5131;NULL;NULL
10509;Alibi;1942;5135;NULL;NULL
